sexo,qtd_filhos,tipo_renda_assalariado,tipo_renda_servidor_publico,educacao_secundario,educacao_superior_incompleto,estado_civil_casado,estado_civil_solteiro,idade,tempo_emprego,qt_pessoas_residencia,predicted_income,credit_limit,card_class,loan_granted
0,2,0,0,1,0,1,0,42,1.6821917808219178,4.0,2816.7353803975325,6000,gold,36000
0,0,0,0,0,0,1,0,54,4.216438356164384,2.0,3521.75081922017,6000,gold,36000
1,0,0,0,1,0,0,0,60,,2.0,4827.252950138516,6000,gold,36000
0,0,0,0,0,0,0,1,56,25.394520547945213,1.0,8336.886324503303,15000,black,72000
0,0,0,0,1,0,1,0,43,0.4301369863013699,2.0,2816.7353803975325,6000,gold,36000
1,1,1,0,0,0,1,0,32,10.63835616438356,3.0,15802.01258793967,unlimited,black,150000
1,0,1,0,1,0,1,0,27,7.019178082191781,2.0,8037.628646934461,15000,black,72000
0,1,0,0,0,0,1,0,34,3.602739726027397,3.0,3521.75081922017,6000,gold,36000
0,1,0,0,1,0,1,0,46,7.805479452054794,3.0,3521.75081922017,6000,gold,36000
0,0,1,0,1,0,1,0,26,3.6821917808219182,2.0,3521.75081922017,6000,gold,36000
0,0,0,0,0,0,0,0,53,14.6,1.0,6118.0007082153,8500,platinum,54000
1,1,1,0,0,0,1,0,37,0.2657534246575343,3.0,4827.252950138516,6000,gold,36000
0,1,0,0,1,0,1,0,37,4.608219178082192,3.0,3521.75081922017,6000,gold,36000
0,0,0,0,1,0,1,0,55,,2.0,3521.75081922017,6000,gold,36000
0,0,1,0,1,0,1,0,53,6.016438356164382,2.0,3521.75081922017,6000,gold,36000
1,2,1,0,0,0,1,0,31,13.852054794520548,4.0,15802.01258793967,unlimited,black,150000
1,0,1,0,1,0,0,0,41,4.178082191780821,2.0,4827.252950138516,6000,gold,36000
1,0,0,0,1,0,1,0,32,3.1890410958904107,2.0,4827.252950138516,6000,gold,36000
1,1,0,0,0,0,0,1,59,11.6,2.0,15802.01258793967,unlimited,black,150000
0,1,1,0,1,0,1,0,38,2.0136986301369864,3.0,2816.7353803975325,6000,gold,36000
1,1,1,0,0,0,1,0,37,14.95890410958904,3.0,15802.01258793967,unlimited,black,150000
0,0,0,0,1,0,1,0,46,2.5424657534246577,2.0,2816.7353803975325,6000,gold,36000
0,0,0,0,0,0,1,0,42,1.1315068493150684,2.0,2816.7353803975325,6000,gold,36000
0,0,1,0,1,0,1,0,46,1.8657534246575345,2.0,2816.7353803975325,6000,gold,36000
0,0,0,0,1,0,1,0,64,,2.0,3521.75081922017,6000,gold,36000
1,2,0,0,1,0,1,0,40,19.06027397260274,4.0,38296.74249999999,unlimited,black,150000
0,0,0,0,1,0,0,1,64,,1.0,3521.75081922017,6000,gold,36000
1,0,1,0,1,0,1,0,40,5.717808219178082,2.0,8037.628646934461,15000,black,72000
0,2,1,0,0,1,1,0,31,0.3534246575342465,4.0,2816.7353803975325,6000,gold,36000
0,1,1,0,1,0,0,0,45,2.7150684931506848,2.0,2816.7353803975325,6000,gold,36000
1,0,1,0,0,0,0,0,41,0.5452054794520548,2.0,4827.252950138516,6000,gold,36000
0,2,1,0,0,0,1,0,37,15.646575342465756,4.0,5063.104048582998,8500,platinum,54000
0,0,1,0,0,0,1,0,34,2.2575342465753425,2.0,2816.7353803975325,6000,gold,36000
1,0,1,0,1,0,0,0,41,4.178082191780821,2.0,4827.252950138516,6000,gold,36000
0,0,0,0,0,0,1,0,68,,2.0,3521.75081922017,6000,gold,36000
0,0,1,0,0,0,1,0,55,6.934246575342466,2.0,3521.75081922017,6000,gold,36000
1,0,1,0,1,0,0,0,62,0.2794520547945205,2.0,4827.252950138516,6000,gold,36000
0,0,1,0,1,0,0,0,50,14.756164383561645,1.0,5063.104048582998,8500,platinum,54000
1,0,1,0,1,0,1,0,52,0.2712328767123288,2.0,4827.252950138516,6000,gold,36000
1,2,0,1,1,0,1,0,38,18.86575342465753,4.0,38296.74249999999,unlimited,black,150000
1,0,0,0,1,0,0,0,32,4.586301369863014,2.0,4827.252950138516,6000,gold,36000
0,1,1,0,0,0,1,0,44,5.5178082191780815,3.0,3521.75081922017,6000,gold,36000
1,0,0,0,1,0,1,0,28,3.095890410958904,2.0,4827.252950138516,6000,gold,36000
0,1,1,0,1,0,0,1,49,15.26027397260274,2.0,5063.104048582998,8500,platinum,54000
0,1,0,0,1,0,1,0,30,2.345205479452055,3.0,2816.7353803975325,6000,gold,36000
1,2,1,0,1,0,0,0,35,13.186301369863012,4.0,15802.01258793967,unlimited,black,150000
0,0,0,0,1,0,1,0,39,5.304109589041096,2.0,3521.75081922017,6000,gold,36000
0,0,0,0,1,0,1,0,49,11.63013698630137,2.0,6118.0007082153,8500,platinum,54000
1,1,1,0,1,0,1,0,47,0.5561643835616439,3.0,4827.252950138516,6000,gold,36000
0,0,0,1,0,0,0,1,60,41.2,1.0,17228.385428571433,unlimited,black,150000
0,0,1,0,0,0,0,0,31,5.512328767123288,2.0,3521.75081922017,6000,gold,36000
0,0,0,0,0,0,0,0,57,,1.0,3521.75081922017,6000,gold,36000
0,0,0,0,1,0,0,0,59,,2.0,3521.75081922017,6000,gold,36000
0,0,0,0,1,0,1,0,55,3.032876712328767,2.0,2816.7353803975325,6000,gold,36000
0,0,0,0,1,0,1,0,56,5.06027397260274,2.0,3521.75081922017,6000,gold,36000
0,0,0,0,1,0,0,1,59,,1.0,3521.75081922017,6000,gold,36000
0,0,0,0,1,0,0,1,51,0.873972602739726,1.0,2816.7353803975325,6000,gold,36000
0,0,0,0,1,0,0,0,57,,2.0,3521.75081922017,6000,gold,36000
0,1,0,0,0,1,1,0,46,0.3479452054794521,3.0,2816.7353803975325,6000,gold,36000
0,0,1,0,1,0,1,0,50,11.268493150684929,2.0,5063.104048582998,8500,platinum,54000
0,0,0,0,0,0,0,1,33,6.076712328767122,1.0,3521.75081922017,6000,gold,36000
1,1,1,0,1,0,0,0,42,4.424657534246577,2.0,4827.252950138516,6000,gold,36000
1,0,1,0,1,0,1,0,24,6.372602739726028,2.0,8037.628646934461,15000,black,72000
1,0,0,0,1,0,1,0,57,0.8438356164383561,2.0,4827.252950138516,6000,gold,36000
0,2,1,0,1,0,1,0,33,0.726027397260274,4.0,2816.7353803975325,6000,gold,36000
1,0,1,0,1,0,1,0,50,5.06027397260274,2.0,8037.628646934461,15000,black,72000
1,0,1,0,1,0,1,0,51,5.5479452054794525,2.0,8037.628646934461,15000,black,72000
1,0,0,0,1,0,1,0,49,9.523287671232875,2.0,10744.083531914897,20000,black,100000
1,0,0,0,1,0,1,0,44,8.219178082191782,2.0,8037.628646934461,15000,black,72000
0,0,0,0,1,0,1,0,45,7.638356164383563,2.0,3521.75081922017,6000,gold,36000
0,0,0,0,0,0,1,0,53,4.597260273972604,2.0,3521.75081922017,6000,gold,36000
0,0,0,0,1,0,1,0,57,,2.0,3521.75081922017,6000,gold,36000
1,1,1,0,1,0,1,0,31,2.375342465753425,3.0,4827.252950138516,6000,gold,36000
0,1,1,0,1,0,1,0,38,15.232876712328768,3.0,5063.104048582998,8500,platinum,54000
0,0,1,0,0,0,1,0,36,7.249315068493152,2.0,3521.75081922017,6000,gold,36000
0,0,1,0,1,0,1,0,54,4.312328767123288,2.0,3521.75081922017,6000,gold,36000
1,2,1,0,1,0,0,0,35,13.186301369863012,4.0,15802.01258793967,unlimited,black,150000
0,0,0,1,0,0,0,0,51,7.104109589041097,1.0,3521.75081922017,6000,gold,36000
1,2,1,0,1,0,1,0,31,7.958904109589041,4.0,8037.628646934461,15000,black,72000
1,0,1,0,1,0,1,0,57,1.326027397260274,2.0,4827.252950138516,6000,gold,36000
0,0,0,0,0,0,1,0,57,,2.0,3521.75081922017,6000,gold,36000
0,1,1,0,1,0,0,0,30,1.9616438356164383,3.0,2816.7353803975325,6000,gold,36000
1,0,1,0,1,0,1,0,56,11.227397260273971,2.0,15802.01258793967,unlimited,black,150000
0,0,0,0,1,0,1,0,55,22.38630136986301,2.0,8336.886324503303,15000,black,72000
0,0,0,0,0,0,0,1,38,8.186301369863013,1.0,3521.75081922017,6000,gold,36000
0,0,0,1,0,0,1,0,31,6.043835616438357,2.0,3521.75081922017,6000,gold,36000
0,0,0,0,0,0,0,0,58,,1.0,3521.75081922017,6000,gold,36000
0,0,1,0,0,0,0,0,52,2.7452054794520557,1.0,2816.7353803975325,6000,gold,36000
1,0,0,0,1,0,1,0,58,,2.0,4827.252950138516,6000,gold,36000
0,0,0,0,1,0,0,0,67,,1.0,3521.75081922017,6000,gold,36000
1,0,1,0,0,0,1,0,51,1.4684931506849317,2.0,4827.252950138516,6000,gold,36000
0,1,0,0,1,0,1,0,44,21.86027397260274,3.0,8336.886324503303,15000,black,72000
0,0,1,0,1,0,0,1,48,21.03013698630137,1.0,8336.886324503303,15000,black,72000
1,0,0,0,1,0,1,0,62,,2.0,4827.252950138516,6000,gold,36000
0,0,1,0,1,0,1,0,42,4.046575342465753,2.0,3521.75081922017,6000,gold,36000
0,0,1,0,0,0,0,1,24,3.104109589041096,1.0,2816.7353803975325,6000,gold,36000
0,1,0,1,0,0,1,0,36,13.136986301369864,3.0,6118.0007082153,8500,platinum,54000
0,0,1,0,1,0,1,0,51,25.54794520547945,2.0,8336.886324503303,15000,black,72000
0,2,1,0,1,0,1,0,39,18.13972602739726,4.0,8336.886324503303,15000,black,72000
1,0,0,0,0,0,1,0,31,1.1232876712328768,2.0,4827.252950138516,6000,gold,36000
1,1,1,0,1,0,1,0,37,1.7534246575342465,3.0,4827.252950138516,6000,gold,36000
1,0,1,0,1,0,1,0,42,9.252054794520548,2.0,10744.083531914897,20000,black,100000
0,0,1,0,1,0,1,0,53,3.4301369863013704,2.0,2816.7353803975325,6000,gold,36000
1,1,0,0,1,0,0,0,46,14.375342465753429,3.0,15802.01258793967,unlimited,black,150000
0,2,1,0,0,0,1,0,36,14.257534246575348,4.0,5063.104048582998,8500,platinum,54000
1,0,1,0,1,0,1,0,30,4.454794520547946,2.0,4827.252950138516,6000,gold,36000
0,0,1,0,0,0,0,0,60,4.216438356164384,1.0,3521.75081922017,6000,gold,36000
1,0,1,0,1,0,0,0,49,18.523287671232875,2.0,21323.110512820513,unlimited,black,150000
1,0,0,0,1,0,1,0,31,5.6054794520547935,2.0,8037.628646934461,15000,black,72000
0,0,1,0,1,0,1,0,43,8.312328767123287,2.0,3521.75081922017,6000,gold,36000
1,1,1,0,1,0,1,0,30,3.4356164383561643,3.0,4827.252950138516,6000,gold,36000
0,0,0,0,0,0,1,0,68,,2.0,3521.75081922017,6000,gold,36000
0,0,1,0,1,0,1,0,50,5.958904109589041,2.0,3521.75081922017,6000,gold,36000
0,1,1,0,1,0,1,0,35,2.5506849315068494,3.0,2816.7353803975325,6000,gold,36000
0,0,0,0,0,0,1,0,61,,2.0,3521.75081922017,6000,gold,36000
1,0,1,0,1,0,0,1,24,2.5945205479452054,1.0,4827.252950138516,6000,gold,36000
0,3,0,0,1,0,0,1,32,13.895890410958906,4.0,6118.0007082153,8500,platinum,54000
0,1,1,0,0,0,1,0,50,27.65479452054794,3.0,8336.886324503303,15000,black,72000
0,1,1,0,1,0,1,0,38,0.7150684931506849,3.0,2816.7353803975325,6000,gold,36000
0,0,0,0,0,0,1,0,27,3.764383561643836,2.0,3521.75081922017,6000,gold,36000
0,0,0,0,0,0,1,0,61,,2.0,3521.75081922017,6000,gold,36000
0,2,1,0,1,0,1,0,37,1.0027397260273974,4.0,2816.7353803975325,6000,gold,36000
0,0,0,0,1,0,1,0,39,3.175342465753425,2.0,2816.7353803975325,6000,gold,36000
1,0,0,0,1,0,1,0,61,,2.0,4827.252950138516,6000,gold,36000
1,0,1,0,1,0,1,0,46,9.704109589041096,2.0,10744.083531914897,20000,black,100000
0,1,0,0,0,0,0,0,40,7.761643835616439,2.0,3521.75081922017,6000,gold,36000
1,0,1,0,0,0,0,0,52,10.47945205479452,1.0,10744.083531914897,20000,black,100000
0,0,0,0,1,0,0,0,41,3.7178082191780817,2.0,3521.75081922017,6000,gold,36000
0,1,1,0,1,0,1,0,40,21.55068493150685,3.0,8336.886324503303,15000,black,72000
0,0,0,0,0,0,0,0,38,10.438356164383563,2.0,3521.75081922017,6000,gold,36000
1,0,1,0,1,0,1,0,38,10.427397260273972,2.0,10744.083531914897,20000,black,100000
1,1,1,0,0,0,1,0,27,4.035616438356166,3.0,4827.252950138516,6000,gold,36000
0,0,0,0,0,0,1,0,61,,2.0,3521.75081922017,6000,gold,36000
1,1,1,0,1,0,0,1,46,18.035616438356165,2.0,21323.110512820513,unlimited,black,150000
1,0,1,0,0,0,1,0,28,8.208219178082192,2.0,8037.628646934461,15000,black,72000
0,0,1,0,0,0,0,1,27,6.216438356164384,1.0,3521.75081922017,6000,gold,36000
1,1,1,0,1,0,1,0,31,10.427397260273972,3.0,10744.083531914897,20000,black,100000
0,0,0,0,1,0,1,0,50,1.747945205479452,2.0,2816.7353803975325,6000,gold,36000
0,1,1,0,1,0,1,0,31,6.383561643835616,3.0,3521.75081922017,6000,gold,36000
1,0,0,0,1,0,1,0,31,11.043835616438356,2.0,15802.01258793967,unlimited,black,150000
1,1,0,0,0,1,1,0,34,3.202739726027397,3.0,4827.252950138516,6000,gold,36000
0,0,0,0,0,0,1,0,59,,2.0,3521.75081922017,6000,gold,36000
0,0,0,0,1,0,0,1,64,,1.0,3521.75081922017,6000,gold,36000
1,1,1,0,1,0,1,0,27,1.5178082191780822,3.0,4827.252950138516,6000,gold,36000
1,0,0,0,1,0,0,0,32,0.8082191780821918,2.0,4827.252950138516,6000,gold,36000
1,1,1,0,1,0,1,0,33,0.536986301369863,3.0,4827.252950138516,6000,gold,36000
0,0,0,1,1,0,0,0,53,33.78630136986301,1.0,8336.886324503303,15000,black,72000
1,2,1,0,0,0,1,0,43,18.336986301369866,4.0,21323.110512820513,unlimited,black,150000
0,1,1,0,0,0,0,0,51,16.386301369863013,2.0,5063.104048582998,8500,platinum,54000
1,0,0,0,1,0,0,1,40,16.13972602739726,1.0,15802.01258793967,unlimited,black,150000
0,0,0,0,1,0,0,1,49,1.5205479452054795,1.0,2816.7353803975325,6000,gold,36000
1,1,1,0,1,0,1,0,24,1.356164383561644,3.0,4827.252950138516,6000,gold,36000
0,0,0,0,1,0,0,1,35,4.6,1.0,3521.75081922017,6000,gold,36000
0,0,1,0,1,0,1,0,51,30.117808219178084,2.0,8336.886324503303,15000,black,72000
0,0,1,0,1,0,0,1,47,5.846575342465752,1.0,3521.75081922017,6000,gold,36000
0,1,1,0,1,0,0,0,42,0.8356164383561644,2.0,2816.7353803975325,6000,gold,36000
0,0,0,0,1,0,0,0,62,,2.0,3521.75081922017,6000,gold,36000
0,0,0,0,1,0,1,0,50,19.30958904109589,2.0,8336.886324503303,15000,black,72000
0,0,0,0,1,0,1,0,59,,2.0,3521.75081922017,6000,gold,36000
0,0,1,0,1,0,1,0,43,5.715068493150685,2.0,3521.75081922017,6000,gold,36000
0,0,0,0,1,0,0,1,51,0.873972602739726,1.0,2816.7353803975325,6000,gold,36000
0,0,0,0,1,0,1,0,48,8.967123287671232,2.0,3521.75081922017,6000,gold,36000
0,0,0,0,1,0,1,0,48,3.276712328767123,2.0,2816.7353803975325,6000,gold,36000
0,1,0,0,1,0,1,0,57,,3.0,3521.75081922017,6000,gold,36000
0,0,1,0,1,0,1,0,60,39.48767123287672,2.0,17228.385428571433,unlimited,black,150000
1,0,0,0,1,0,1,0,56,,2.0,4827.252950138516,6000,gold,36000
0,1,0,1,1,0,0,0,40,15.975342465753426,3.0,6118.0007082153,8500,platinum,54000
0,1,1,0,1,0,1,0,29,0.3479452054794521,3.0,2816.7353803975325,6000,gold,36000
0,0,1,0,1,0,1,0,39,7.120547945205479,2.0,3521.75081922017,6000,gold,36000
0,0,0,0,1,0,1,0,60,,2.0,3521.75081922017,6000,gold,36000
0,1,0,0,0,0,1,0,30,5.657534246575342,3.0,3521.75081922017,6000,gold,36000
0,0,1,0,1,0,1,0,53,11.134246575342466,2.0,5063.104048582998,8500,platinum,54000
0,0,1,0,1,0,1,0,60,2.0383561643835617,2.0,2816.7353803975325,6000,gold,36000
1,1,0,1,1,0,1,0,59,11.895890410958906,3.0,15802.01258793967,unlimited,black,150000
0,0,1,0,1,0,1,0,54,3.263013698630137,2.0,2816.7353803975325,6000,gold,36000
0,0,0,0,1,0,0,0,59,,1.0,3521.75081922017,6000,gold,36000
0,1,0,0,0,0,0,1,27,4.523287671232877,2.0,3521.75081922017,6000,gold,36000
1,1,1,0,0,0,0,1,40,17.043835616438358,2.0,21323.110512820513,unlimited,black,150000
0,2,1,0,1,0,1,0,36,3.3479452054794514,4.0,2816.7353803975325,6000,gold,36000
0,0,0,0,1,0,1,0,59,,2.0,3521.75081922017,6000,gold,36000
0,0,1,0,0,0,0,0,44,19.45205479452055,1.0,8336.886324503303,15000,black,72000
0,0,0,0,1,0,1,0,47,8.926027397260274,2.0,3521.75081922017,6000,gold,36000
0,1,1,0,1,0,1,0,38,15.232876712328768,3.0,5063.104048582998,8500,platinum,54000
0,0,0,0,1,0,0,0,54,,1.0,3521.75081922017,6000,gold,36000
1,1,1,0,0,0,1,0,47,3.1150684931506847,3.0,4827.252950138516,6000,gold,36000
0,0,0,0,0,0,1,0,61,,2.0,3521.75081922017,6000,gold,36000
0,0,1,0,1,0,1,0,31,5.298630136986302,2.0,3521.75081922017,6000,gold,36000
0,1,1,0,0,0,1,0,44,5.5178082191780815,3.0,3521.75081922017,6000,gold,36000
0,1,1,0,1,0,0,0,41,7.265753424657534,2.0,3521.75081922017,6000,gold,36000
0,0,1,0,1,0,1,0,55,8.471232876712326,2.0,3521.75081922017,6000,gold,36000
0,1,1,0,1,0,1,0,50,6.802739726027397,3.0,3521.75081922017,6000,gold,36000
0,0,1,0,1,0,0,0,57,11.835616438356164,1.0,5063.104048582998,8500,platinum,54000
0,1,0,0,1,0,0,0,40,3.6986301369863015,3.0,3521.75081922017,6000,gold,36000
1,0,1,0,1,0,1,0,40,22.19178082191781,2.0,38296.74249999999,unlimited,black,150000
1,0,1,0,1,0,0,1,24,2.375342465753425,1.0,4827.252950138516,6000,gold,36000
0,0,1,0,0,0,1,0,28,2.5506849315068494,2.0,2816.7353803975325,6000,gold,36000
0,0,1,0,1,0,1,0,57,4.865753424657535,2.0,3521.75081922017,6000,gold,36000
0,1,1,0,1,0,0,0,47,0.2164383561643836,2.0,2816.7353803975325,6000,gold,36000
0,0,0,1,1,0,1,0,51,23.31232876712329,2.0,8336.886324503303,15000,black,72000
0,0,0,0,1,0,1,0,28,6.2027397260273975,2.0,3521.75081922017,6000,gold,36000
0,3,0,0,0,1,1,0,33,6.0465753424657525,5.0,3521.75081922017,6000,gold,36000
1,0,1,0,0,1,1,0,27,0.7561643835616438,2.0,4827.252950138516,6000,gold,36000
0,0,1,0,1,0,1,0,55,8.471232876712326,2.0,3521.75081922017,6000,gold,36000
0,0,1,0,0,0,0,0,63,5.846575342465752,1.0,3521.75081922017,6000,gold,36000
0,1,1,0,0,0,1,0,38,8.293150684931506,3.0,3521.75081922017,6000,gold,36000
0,1,0,0,0,0,1,0,43,4.0191780821917815,3.0,3521.75081922017,6000,gold,36000
0,1,0,0,0,0,1,0,39,6.898630136986301,3.0,3521.75081922017,6000,gold,36000
0,0,0,0,1,0,0,1,61,,1.0,3521.75081922017,6000,gold,36000
0,0,0,0,1,0,0,0,56,,1.0,3521.75081922017,6000,gold,36000
1,1,1,0,1,0,1,0,36,3.624657534246576,3.0,4827.252950138516,6000,gold,36000
0,3,0,0,1,0,1,0,35,2.115068493150685,5.0,2816.7353803975325,6000,gold,36000
0,0,1,0,1,0,1,0,64,9.183561643835615,2.0,3521.75081922017,6000,gold,36000
0,2,1,0,0,1,1,0,36,8.186301369863013,4.0,3521.75081922017,6000,gold,36000
0,0,0,0,0,0,1,0,37,13.276712328767124,2.0,6118.0007082153,8500,platinum,54000
0,1,1,0,0,0,1,0,29,8.665753424657536,3.0,3521.75081922017,6000,gold,36000
0,0,0,0,1,0,1,0,58,,2.0,3521.75081922017,6000,gold,36000
