,52,389,41
1129,0.935932,-0.51902656,-0.2421798
834,0.95786274,-0.7003232,-0.2223427
5958,-0.51224393,-0.99992254,0.59850696
5652,0.9542575,-0.79343718,-0.23708596
7029,-0.30246005,-0.99933861,0.63300872
2189,0.93870185,-0.64984748,-0.2031775
1235,-0.42956571,-0.99990882,0.98385614
1225,-0.44606719,-0.99915835,0.97951175
4794,-0.3260529,-0.99992878,0.46831176
5527,0.43084476,-0.99997307,0.54591992
4772,-0.33618211,-0.99994674,0.39309308
7291,0.97464989,-0.79695209,-0.12802141
2484,0.78715179,-0.79120715,-0.28739461
4553,0.94844903,-0.99993734,-0.26443732
4489,0.9503439,-0.63675685,-0.2475793
2481,0.79195227,-0.8093986,-0.26238524
2029,0.94691134,-0.56381784,-0.23113781
5154,-0.88812635,-0.9988095,0.31924519
4019,0.94951712,-0.99998742,-0.045733
1027,0.89880297,-0.99994439,0.23907943
5318,0.99008676,-0.99994401,0.056705588
2406,0.84744387,-0.99989742,-0.22698872
1657,0.89504385,-0.99996387,0.26738417
349,0.95839361,-0.99997229,-0.28140478
452,0.95397675,-0.85118169,-0.26309071
662,0.94619017,-0.48061725,-0.2248743
172,0.90409427,-0.9231658,-0.33758462
1405,0.91060309,-0.88817281,-0.13562563
4874,0.83292078,-0.83670857,-0.20732572
4450,-0.35607294,-0.99804361,0.73879094
4756,0.98656684,-0.99996991,0.052273098
422,-0.23595645,-0.99995536,0.86048625
4698,0.99493568,-0.99997184,-0.0235402
6171,0.93645802,-0.74757827,-0.21794844
1220,-0.50988056,-0.99988377,0.90392716
881,0.93523801,-0.99998363,0.19407473
3185,0.95676771,-0.85339142,0.096454399
1253,0.96445372,-0.66424386,-0.23997611
5081,0.9215743,-0.99995905,-0.16521443
7030,-0.31792185,-0.99938189,0.63369761
2431,0.87015183,-0.99956553,-0.13773878
4317,0.89333957,-0.62505009,-0.36238924
6853,0.92610603,-0.99998116,0.17495258
6053,0.98216314,-0.99994275,-0.19899235
102,0.95110648,-0.77575003,-0.26882859
3473,0.98520393,-0.99998933,0.092349689
4502,0.92052158,-0.46812295,-0.18495778
6973,0.9950304,-0.99996624,-0.056951322
2615,-0.062903346,-0.9999437,0.92020923
3033,0.80738111,-0.8787372,-0.28585246
2676,0.93992597,-0.29856711,-0.15722197
1580,0.97779082,-0.40764959,-0.14418608
3933,0.8991701,0.28264284,-0.16701962
5224,0.92159719,-0.89952839,-0.060014182
3443,0.94527908,-0.99999191,-0.31296434
7219,0.9511804,-0.99996206,-0.000568807
2229,0.95864759,-0.99997424,-0.18810694
5634,0.94667505,-0.28956412,-0.081169755
135,0.92900964,-0.6297677,-0.2575283
2758,0.97853684,-0.99996483,0.10904056
4144,0.78668375,-0.89493765,-0.43314457
1310,0.89340469,-0.56893093,-0.39123193
6615,0.82047506,-0.8260085,-0.35999319
6088,0.98902986,-0.99998583,-0.16823113
5488,0.98659159,-0.99996066,-0.12844955
3954,0.82928829,0.21972384,-0.21934336
2586,0.98973898,-0.99977692,0.023823421
3886,-0.78792519,-0.99991113,0.68935404
3653,0.38476429,-0.99984511,0.4289444
5771,-0.5509144,-0.99994374,0.8266347
1935,0.84214457,-0.99998755,0.33388675
5839,0.93729211,-0.67717564,-0.29236003
3862,-0.80873169,-0.99995057,0.7089702
4638,0.93785492,-0.56215796,-0.26374921
807,0.93400812,-0.58097006,-0.027397806
1859,0.88851934,-0.71151525,-0.15783917
4024,0.9522244,-0.99996671,-0.035528317
462,0.94444172,-0.89860566,-0.28701156
879,0.9365026,-0.9999546,0.19255673
1956,-0.090149116,-0.99990275,0.93303104
6795,0.93028212,-0.71064342,-0.22332361
7020,0.96033416,-0.99998457,-0.068769534
5532,0.43515661,-0.99998063,0.54619941
3038,0.8161164,-0.89960044,-0.30721795
2881,0.96481189,-0.99999536,-0.18939398
799,0.96826913,-0.61922737,0.0022542493
354,0.96862291,-0.999196,-0.23924146
2966,-0.043041328,-0.99992314,0.41592889
1073,-0.43542648,-0.99990116,0.98772665
6886,-0.26998847,-0.99998032,0.83830486
7065,-0.18107053,-0.99994036,0.72938788
144,0.95216144,-0.78054606,-0.25496927
380,0.96509527,-0.99995558,-0.012283014
1340,0.96791692,-0.99931279,-0.099881956
2622,-0.10023504,-0.99993096,0.92892233
2662,0.94584753,-0.38698997,-0.19196555
7283,0.98257798,-0.62241367,-0.14029299
4557,0.97238381,-0.99998794,-0.24320919
121,0.96544132,-0.83663225,-0.24149087
2513,0.76481897,-0.50373417,-0.24803622
4819,0.95799726,-0.86087535,-0.1587575
4105,0.86227721,-0.7663126,-0.37099216
4366,0.82270859,-0.80539327,-0.40756352
2407,0.84730233,-0.99894513,-0.22855418
2522,0.66693711,-0.83335064,-0.33826692
1360,0.98885809,-0.99998216,0.008831601
418,-0.2478005,-0.99973732,0.86870478
4667,0.91044038,-0.45309649,-0.26076093
7087,0.98267858,-0.86354675,-0.16421207
1514,0.97281722,-0.99993855,0.030315718
4382,0.97870581,-0.99995345,-0.19093754
6831,0.99408084,-0.99999727,-0.12052061
6151,-0.56380041,-0.99916536,0.60992499
4601,-0.57014356,-0.99529931,0.47754236
555,0.85779691,-0.99997953,0.2887826
2582,0.9704685,-0.99976852,0.015333731
7233,-0.32432589,-0.99993287,0.79139962
2897,0.9311038,-0.99999016,-0.2151025
1485,0.9805234,-0.99986863,-0.16538361
6341,-0.60891419,-0.99970201,-0.42956891
1272,0.92208225,-0.23021587,-0.2035982
6890,-0.26904475,-0.99996655,0.83856988
1411,0.90813294,-0.87744095,-0.13269964
4996,0.96472062,-0.82533896,-0.15149551
6717,-0.25422155,-0.99989005,0.80086807
1471,0.72542572,-0.79788415,-0.20447943
2473,0.80126022,-0.80399822,-0.28545029
6703,-0.25609673,-0.99984281,0.7951671
5192,0.92976396,-0.92600122,-0.11475169
7032,-0.31886562,-0.9999793,0.6295767
6211,0.8500738,-0.57066725,-0.19661289
4284,-0.18116168,-0.99993677,0.59951326
3813,0.9764204,-0.99998304,-0.15828372
6695,-0.37544185,-0.99993828,0.76476403
5485,0.98438125,-0.99999393,-0.12241922
2580,0.78400186,-0.9999581,0.43183961
6519,-0.65650507,-0.99997784,-0.18214618
1840,-0.54139394,-0.9999478,0.34538416
6904,0.97555214,-0.7463705,-0.12094688
981,0.92368704,-0.52920147,-0.32048736
1732,0.96632182,-0.63704463,-0.21103396
6375,0.9567009,-0.87320527,-0.23032127
4782,-0.31447584,-0.99995248,0.47909062
3733,0.9398198,-0.56840134,-0.25531739
6486,0.96298192,-0.99993234,-0.25699602
1268,0.9125275,-0.45690845,-0.19575983
414,-0.2679502,-0.99983722,0.75740991
6869,-0.29083657,-0.99993946,0.84162829
268,0.92250489,-0.65709666,-0.30979655
6550,-0.39021703,-0.99991012,0.50407602
5606,0.96497203,-0.83023822,-0.14414993
6389,0.96215672,-0.78147923,-0.22640266
654,0.95532188,-0.68271389,-0.2049017
2083,0.98649514,-0.99991498,-0.18111466
5291,0.98192372,-0.99996326,-0.18808511
5371,-0.38840043,-0.9997019,0.85378562
3034,0.80738111,-0.84723028,-0.29267815
2550,0.9812787,-0.99998915,-0.15287973
3882,-0.88113818,-0.99987779,0.69292999
773,0.9929313,-0.94706144,-0.069074031
6643,0.99576768,-0.99996836,-0.025766748
589,-0.15692048,-0.9994218,0.86073534
3181,0.97055494,-0.84667239,0.091634203
5766,-0.54906643,-0.9999793,0.82747621
3684,-0.42212104,-0.99996374,0.81240814
5132,0.91026399,-0.99998163,0.21410626
3574,0.88569896,-0.69475797,-0.37766251
4051,0.99503828,-0.99997887,-0.039305782
4355,0.77096283,-0.77826313,-0.43503159
3641,0.94631843,-0.99998205,-0.28768259
6330,-0.626144,-0.99997359,-0.42174766
2517,0.63926946,-0.7554034,-0.31974403
7115,0.97391951,-0.80880151,-0.16259519
677,0.87405963,-0.83462945,-0.39788013
2996,0.92894501,-0.86424867,-0.22315281
4935,0.98496205,-0.99990126,0.080135802
2845,0.94018979,-0.20044717,-0.1583575
3880,-0.87248188,-0.9998992,0.69486335
5537,0.97903587,-0.9999494,-0.023477828
6376,0.96462754,-0.88195069,-0.23217136
3340,-0.17871379,-0.99996264,0.5665755
3543,0.93520055,-0.79217646,-0.28221999
5824,0.93320694,-0.41103766,-0.096381432
6927,0.95444331,-0.55127553,-0.10065023
4534,0.97939271,-0.99882694,-0.20240798
1611,0.86696432,-0.8289506,-0.30060384
3948,0.78205091,-0.61646582,-0.39164932
6398,0.96247205,-0.80734636,-0.23212708
7313,0.93750139,-0.43690665,-0.098857022
4840,0.8851454,-0.84919935,-0.21105908
2245,0.8985427,-0.99994726,-0.22655757
5692,0.94149131,-0.99996862,-0.19560045
605,-0.13947627,-0.99996494,0.85111953
6911,0.97316079,-0.6916015,-0.12808047
3319,-0.16979133,-0.99996104,0.49798882
1468,0.75565554,-0.7138699,-0.18249471
5406,0.98083341,-0.93664998,-0.15656105
3231,0.84381449,-0.8839049,0.19827105
6262,0.97447925,-0.99998254,-0.23423956
3076,0.96614403,-0.99994683,0.070175511
3483,0.98458101,-0.99999544,-0.12461572
3196,0.92881881,-0.4093787,0.086673235
3753,0.92105805,-0.36534181,-0.22128631
7285,0.98494203,-0.7652171,-0.13789192
2077,0.98608433,-0.99997258,-0.18439441
6961,0.93494501,-0.63470482,-0.20406057
2388,0.88023763,-0.99994199,-0.25258718
3000,0.92201739,-0.69445052,-0.19581896
3469,0.98411021,-0.99999359,0.092347616
584,-0.15831588,-0.99997029,0.85476944
5086,0.88457463,-0.99985937,-0.14686209
2299,-0.17813594,-0.99898677,0.49270983
3693,-0.42236834,-0.99995312,0.81678625
5687,0.98852746,-0.99998256,-0.12930618
4686,0.87282603,-0.75543654,-0.38636188
3973,0.9237752,-0.99998103,-0.31245708
3437,0.94515002,-0.99997952,-0.31202005
3946,0.83964269,-0.67654366,-0.3640984
2499,0.77328447,-0.45215386,-0.28933769
7081,0.98026599,-0.85782979,-0.16858052
5168,-0.24977083,-0.99998562,0.90244089
344,0.92942903,-0.61581673,-0.29931997
4292,-0.19076639,-0.999948,0.60106645
6972,0.99493195,-0.99995174,-0.064660795
6896,0.97645176,-0.76078914,-0.12438343
3333,-0.16979917,-0.99994358,0.54381254
5686,0.98940453,-0.99985938,-0.13583002
3467,0.98591121,-0.99997518,0.073021182
6414,0.88217134,-0.8806284,-0.32831019
90,0.95275431,-0.71487622,-0.25840003
3197,0.91330452,-0.49580989,0.092067613
4410,0.69803678,-0.99985119,0.38713603
4546,0.96958333,-0.99998048,-0.24540061
2836,0.96377962,-0.32312119,-0.14731759
2117,-0.1188086,-0.99993816,0.95590009
3682,0.77554397,-0.99996952,0.26758251
5577,-0.64696635,-0.99996839,0.81833637
4204,0.88283436,-0.99985492,-0.37555503
2571,0.77560317,-0.99994391,0.44149468
947,0.94826517,-0.34483761,-0.077859105
2623,-0.10434184,-0.99993317,0.92755258
2697,0.90626441,-0.64156648,-0.33026108
5768,-0.55141287,-0.99998206,0.82792007
4248,0.99239787,-0.9999626,-0.044092819
4254,0.99253216,-0.99991826,-0.043126664
2436,0.9024868,-0.99988919,-0.10001567
2718,0.99429033,-0.99997938,-0.12482943
6740,0.97213267,-0.67146042,-0.1335118
5414,0.98214095,-0.94903642,-0.14622944
4902,0.86494499,-0.99996996,-0.1814017
4379,0.9810843,-0.99997816,-0.18462355
5246,0.92287242,-0.96739011,-0.22386169
5253,0.89652384,-0.94693124,-0.19941551
6332,-0.62685961,-0.99993074,-0.42996614
6114,0.98408337,-0.99996156,0.084619342
2781,-0.098847743,-0.99995866,0.88330867
5251,0.89970839,-0.97302237,-0.18505774
7024,0.96115511,-0.99998646,-0.06637588
6213,0.90894653,-0.50855041,-0.16392068
5923,0.95929212,-0.99997627,0.090241259
3499,-0.12458662,-0.99995858,0.76993011
4313,0.88889008,-0.67485043,-0.36479781
1186,0.96540753,-0.99838547,0.14641022
3601,0.94879195,-0.56614304,-0.26147519
7235,-0.3241259,-0.99998205,0.78869285
5586,-0.64531726,-0.99995464,0.81412691
7190,0.98984117,-0.99685965,-0.1241932
151,0.91599599,-0.86159745,-0.31639379
915,-0.4162722,-0.99996884,0.95051694
1305,0.90726156,-0.51138821,-0.3887037
3780,0.89585984,-0.12154764,-0.20147605
5265,0.9254255,-0.96398677,-0.20186886
4319,0.88526114,-0.64436309,-0.36951504
5669,0.94507089,-0.78223969,-0.24427673
1398,0.93229511,-0.88917606,-0.12119418
183,0.94488257,-0.99999015,-0.3452228
2927,0.98578109,-0.99996914,-0.048885943
5613,0.97884391,-0.67693041,-0.14620183
5861,0.94610192,-0.74153573,-0.26733839
471,0.96109993,-0.72915031,-0.23485919
967,0.95174862,-0.36196702,-0.11773824
209,0.80920008,-0.99998226,0.31233071
1961,-0.090263545,-0.99998444,0.93400367
896,-0.48331746,-0.9993306,0.9494155
6849,0.82953246,-0.99984227,0.16961484
2191,0.93787231,-0.56954442,-0.22837661
5455,0.96066821,-0.8940106,-0.18653273
1773,0.88220638,-0.99755285,-0.12768418
3621,0.95829867,-0.99998247,-0.25983394
1209,-0.58185224,-0.98642159,0.75004236
3787,0.8336379,-0.67967239,-0.43248651
4189,0.89955319,-0.99991231,-0.35226291
3977,0.92400334,-0.99997381,-0.3135858
3909,0.94395529,-0.51686003,-0.17218053
3298,0.91849174,-0.99996811,-0.028314656
4608,-0.62936295,-0.9999473,0.42005503
4827,0.95458977,-0.8437965,-0.16907156
4423,0.91598365,-0.99997409,0.14500064
292,0.93131047,-0.693289,-0.30446325
2540,0.66240396,-0.79716723,-0.3444745
6534,-0.64513512,-0.99995748,-0.17583747
5458,0.94094325,-0.94555721,-0.23210617
272,0.92516873,-0.76582558,-0.32276205
2042,0.88822873,-0.86021024,-0.34884951
5889,0.98720225,-0.99998982,-0.18083154
2251,0.98671241,-0.99998481,-0.014060481
5814,0.97646996,-0.86765182,-0.14932497
4610,-0.62957554,-0.9999466,0.41846918
1086,0.98218974,-0.82095361,-0.15231253
4778,-0.33053436,-0.99994463,0.384914
2705,0.9867091,-0.99956976,-0.082817592
5573,-0.58366124,-0.99995766,0.75057263
5255,0.91645133,-0.96162115,-0.21558098
4099,-0.17928401,-0.99996473,0.5721994
3007,0.90197675,-0.71965426,-0.20999205
6021,0.98210784,-0.57508419,-0.13581601
4945,-0.38301083,-0.9997011,0.49027357
2835,0.94301454,-0.39659548,-0.14001542
4578,0.82418482,-0.9999676,0.25484598
3027,0.81775301,-0.87006506,-0.29632765
3407,0.84828069,-0.58907672,-0.18210779
613,0.95109356,-0.80653762,-0.26253002
3208,0.93490664,-0.36769851,0.094175899
3815,0.96921806,-0.99997497,-0.16429655
2865,0.9147174,-0.54032342,-0.32691981
4098,-0.17928401,-0.99996777,0.57269001
4958,-0.3511619,-0.9999367,0.44370451
1748,0.90321144,-0.82629696,-0.31843992
6630,0.99149282,-0.99999421,0.018773802
2227,0.95407595,-0.99981225,-0.19092193
2673,0.91482593,-0.34455964,-0.21362249
3071,0.98204555,-0.99997259,0.064948176
2154,0.96598273,-0.83326722,-0.21723707
1344,0.99390123,-0.99997836,0.010202902
7109,0.98590073,-0.68044884,-0.14766406
5513,0.88320307,-0.99993392,0.15520257
3433,0.9492926,-0.99997987,-0.30580507
952,0.95468303,-0.18165868,-0.13236972
2316,0.8454103,-0.91332661,-0.26214643
1504,0.99088731,-0.99967341,-0.031974488
6547,-0.38911301,-0.99994597,0.50378956
7311,0.95396755,-0.54717058,-0.061664716
2614,-0.12114514,-0.99972074,0.92463565
1121,0.92878838,-0.32724925,-0.20729677
4148,0.77698504,-0.91855152,-0.45279293
5626,0.9597451,-0.41858856,-0.078728433
5426,0.94901679,-0.89211174,-0.11378316
3857,0.91025074,-0.99992078,0.22588422
4302,-0.19729748,-0.99997821,0.59711135
416,-0.26177552,-0.99991581,0.76297445
4343,0.85762642,-0.36394672,-0.36237075
564,0.91165304,-0.97995609,0.064106173
1224,-0.58182738,-0.99919573,0.98343875
142,0.93395793,-0.61217651,-0.27642083
1490,0.98690639,-0.99993679,-0.11011419
5681,0.98926513,-0.99998192,-0.13969602
5693,0.98037894,-0.99997071,-0.17687643
2004,0.95511343,-0.90203859,-0.20687568
1194,0.96906485,-0.99681454,0.14370581
6143,-0.48145618,-0.99987001,0.52442369
1756,0.91101995,-0.77934334,-0.31470521
497,0.89002018,-0.87215352,-0.3408577
4568,0.84021418,-0.9992673,0.25700115
7186,0.98945746,-0.99772052,-0.14431784
6590,0.92416464,-0.50295881,-0.23085329
721,0.68889159,-0.99994615,0.50363851
6239,0.78322226,-0.82536197,-0.22861297
6900,0.98039046,-0.74228584,-0.12922604
1496,0.98935509,-0.99996153,-0.11086937
2574,0.78445805,-0.99997302,0.42986551
1520,0.98191235,-0.99995209,0.058818879
4687,0.89480113,-0.74501627,-0.32362609
3195,0.94706767,-0.30887024,0.085029174
4866,0.93384388,-0.38058652,-0.098568023
7067,0.97515089,-0.83548281,-0.18539139
5922,0.94241766,-0.99995553,0.094269461
108,0.96570391,-0.7748426,-0.25175686
1754,0.89364969,-0.8450176,-0.32812758
7151,0.97160508,-0.85195649,-0.15434326
1351,0.99436008,-0.9999829,-0.0044561944
4147,0.77526188,-0.89250912,-0.46161164
6379,0.96422267,-0.90488282,-0.23308783
6914,0.97782375,-0.69072051,-0.12886532
1973,-0.085854572,-0.99998309,0.93602395
336,0.93222314,-0.58124519,-0.30372669
5164,-0.24411102,-0.99998318,0.90487971
3734,0.9398198,-0.66013234,-0.26685107
2820,0.96684402,-0.70767387,-0.21537117
4507,0.9221041,-0.696003,-0.30566266
724,0.68441273,-0.99943235,0.50490421
765,-0.43492438,-0.99988016,0.96457884
3277,0.88413126,-0.99997293,-0.20513974
4129,0.85281524,-0.32413119,-0.36782391
307,0.88122774,-0.85183482,-0.37824168
1278,0.93254677,-0.30395447,-0.24651454
6498,0.9198624,-0.99997828,-0.057761629
4614,-0.6263774,-0.99244265,0.46030203
5720,0.80586987,-0.99997727,0.35819644
7128,0.92849399,-0.92798133,-0.23514527
6664,0.86196601,-0.9999883,0.17538425
1791,0.79052582,-0.9999658,0.22825269
3554,0.94031649,-0.75872697,-0.29460874
6120,0.98263447,-0.99996318,0.090648765
5167,-0.24977083,-0.99998989,0.90312331
2053,0.89778581,-0.84919241,-0.3520139
2663,0.94584753,-0.46807503,-0.18175036
2620,-0.096073638,-0.99992726,0.92873901
71,-0.70993531,-0.97055728,0.52510468
6163,-0.51058898,-0.99990976,0.59555812
2464,-0.037625837,-0.99927714,0.45495306
4247,0.99312513,-0.99995183,-0.05120524
1260,0.95938357,-0.79351435,-0.23609877
1666,0.88539518,-0.99997459,0.28213902
2618,-0.066855243,-0.99883116,0.91984834
3413,0.89355696,-0.19374838,-0.073351096
7022,0.95955146,-0.9999666,-0.064623411
6134,-0.4762557,-0.9998601,0.52600218
2167,0.97178159,-0.88229909,-0.21463573
7001,0.67811954,-0.99741125,0.21272494
1695,0.97150521,-0.82227417,-0.27415419
1095,0.97080756,-0.79383783,-0.21661488
5525,0.42970904,-0.99998512,0.54633096
4745,0.9001525,-0.9993658,0.038813695
4015,0.94867634,-0.99998813,-0.047966498
1630,0.99261194,-0.99998185,-0.092554253
6870,-0.28793284,-0.99994023,0.84174081
1881,0.88288248,-0.33414243,-0.16198183
3816,0.96484208,-0.99978518,-0.17426967
6576,0.95342886,-0.73505974,-0.22669981
1612,0.87843142,-0.80961376,-0.2960043
978,0.92516828,-0.62467976,-0.3247663
3620,0.95829867,-0.99998923,-0.25752465
5216,0.89722043,-0.88792947,-0.041150488
7213,0.95140375,-0.99992871,-0.014777022
848,0.96489792,-0.99753786,-0.02663742
4581,0.90189378,-0.99805519,0.028965963
2271,0.98536116,-0.99992275,-0.052419859
3349,0.94378992,-0.84054929,-0.07898676
1830,-0.49549704,-0.99988477,0.36353908
2354,0.84999284,-0.46058104,-0.25610407
47,0.8963139,-0.9999778,0.14560336
3616,0.95957902,-0.99997924,-0.25132919
1350,0.98908043,-0.99995104,0.0029006625
2617,-0.062612744,-0.99996088,0.92031976
446,0.95382263,-0.88755145,-0.26646757
4025,0.95222534,-0.99997117,-0.035811728
1743,0.92546606,-0.7823609,-0.29364936
844,0.95470601,-0.75803382,-0.22325133
3297,0.93316681,-0.99998915,-0.019903262
4101,0.8785511,-0.76971995,-0.35575947
678,0.87405963,-0.85864338,-0.41127854
2887,0.96568209,-0.99998253,-0.18798154
4960,-0.36829177,-0.99991989,0.44202302
1294,0.91224998,-0.50353788,-0.35560051
5477,0.97566731,-0.99997448,-0.11237264
3252,0.92490036,-0.99999135,-0.20340395
7045,-0.26197408,-0.99475783,0.75575036
6868,-0.29648418,-0.99995022,0.8427081
5250,0.92076065,-0.94965228,-0.1754412
4391,0.9743905,-0.99995215,-0.21599578
1112,0.94635981,-0.29470533,-0.15717166
776,0.99091553,-0.8556633,-0.06621412
7329,0.93266714,-0.85874542,-0.23578892
3770,0.9023855,-0.77759454,-0.37813415
2228,0.95559739,-0.99981544,-0.1922352
2153,0.96598273,-0.85695217,-0.19936862
4994,0.9576532,-0.79698464,-0.15878629
6737,0.95869346,-0.74268589,-0.13113486
6701,-0.37296273,-0.99993884,0.7646145
1366,0.99129498,-0.99998173,0.014103514
4215,0.89177893,-0.99993374,-0.36287306
1851,0.88738077,-0.6954733,-0.15993623
1963,-0.090603062,-0.99997925,0.93350404
4885,0.95312133,-0.99998138,-0.11793103
4404,0.69447112,-0.99993579,0.38379628
4240,0.98549399,-0.99956206,-0.071537156
3288,0.98259683,-0.99999197,0.065020374
485,0.91971545,-0.32915655,-0.25954349
2239,0.8970221,-0.99992053,-0.21980875
2879,0.96426508,-0.99999546,-0.18918611
5091,0.91170254,-0.99982083,-0.12704058
5632,0.94169486,-0.48451465,-0.080660314
30,0.85834757,-0.99505655,0.15070183
1879,0.87928069,-0.54358721,-0.17167467
2778,-0.1768754,-0.99997014,0.90628564
3312,0.90596349,-0.99998185,-0.038299786
2885,0.96555772,-0.99999668,-0.18860104
4740,0.93731936,-0.99998733,0.19120726
5021,0.92547812,-0.27799965,-0.11338233
3611,0.95776855,-0.99998354,-0.26892183
636,0.94544222,-0.85353634,-0.26174685
4664,0.91317485,-0.30361256,-0.24632551
3316,-0.16808769,-0.99995947,0.51030571
1083,0.98157929,-0.88733639,-0.1912127
861,0.88661988,-0.99846012,-0.15735564
3409,0.83976121,-0.65347296,-0.20253538
903,-0.39238432,-0.99996717,0.93485035
3114,0.97721476,-0.99983622,-0.076497826
109,0.95842022,-0.78472126,-0.26440906
7072,0.97520677,-0.83253168,-0.17877306
4108,0.88822409,-0.76907267,-0.37169675
3915,0.95112704,-0.083722781,-0.18123351
3994,0.88033229,-0.99994522,-0.35723505
6174,0.93310929,-0.76078613,-0.21973518
3904,0.95741733,-0.4876148,-0.17978415
5388,0.97481819,-0.94972571,-0.12987627
1831,-0.53248946,-0.99987241,0.35904947
7318,0.92221393,-0.57862815,-0.11686602
782,0.97996905,-0.87031118,-0.066145658
7176,0.98371364,-0.99952732,0.041394878
4058,-0.054591834,-0.99991317,0.63293205
5001,0.95209416,-0.77501315,-0.15787422
2412,0.63289536,-0.9993148,-0.10023017
3131,-0.27849328,-0.99986328,-0.48139563
1825,-0.4213856,-0.99993351,0.31644182
1094,0.97080756,-0.79706904,-0.21305092
5151,-0.87895621,-0.99971792,0.068224397
3879,-0.87076581,-0.99989739,0.69423969
6986,0.98072686,-0.99991601,-0.19623568
4463,-0.25302722,-0.99997666,0.71427425
2826,0.88422205,-0.0025798105,-0.20039591
2445,-0.081471397,-0.99988665,0.48316296
1654,0.89640849,-0.99993472,0.24453242
6017,0.97506932,-0.37160418,-0.15082497
2323,0.84601845,-0.88576818,-0.2638715
2413,0.97202632,-0.99985816,0.058241193
5627,0.95808841,-0.51082991,-0.090943448
2570,0.77560317,-0.99942031,0.2744008
4160,0.82120211,-0.58979733,-0.37351415
7123,0.93684927,-0.93628615,-0.23625317
3535,0.936017,-0.78193426,-0.29604867
4588,0.98355865,-0.99990538,0.061986906
2917,0.98455951,-0.9999788,0.059752
178,0.94282925,-0.99996007,-0.34394546
7192,0.99113421,-0.99977592,-0.10286072
3194,0.94039506,-0.36043349,0.09159262
5148,-0.56665174,-0.99874481,0.96939147
1204,0.98065597,-0.99958058,-0.086463781
2202,0.89896528,-0.72288899,-0.34799839
2900,0.92582546,-0.99998441,-0.21766286
6460,0.96783365,-0.99987138,-0.24826151
5664,0.95881269,-0.75386839,-0.22224609
2860,0.90333211,-0.51177779,-0.31885798
7312,0.93750139,-0.31783818,-0.11070592
1770,0.99156424,-0.99997837,-0.021839982
829,0.95971663,-0.79522573,-0.23648011
3803,0.97545007,-0.99985864,-0.16060006
2692,0.92890888,-0.75250494,-0.32813648
627,0.93776417,-0.77137078,-0.26071089
5805,0.97378786,-0.75818299,-0.1507341
5623,0.96106359,-0.50025957,-0.073889892
925,0.98020191,-0.72364312,-0.13010816
295,0.9311006,-0.79525947,-0.30644558
1052,-0.4018187,-0.99932325,0.96767722
2732,0.85788762,-0.99996087,0.33297663
3907,0.95266646,-0.51811746,-0.18401649
2447,-0.071787144,-0.99991192,0.48432041
944,0.9814325,-0.65743858,-0.12693542
5846,0.9340521,-0.80305806,-0.24216665
6096,0.82420536,-0.99993658,0.28165011
12,0.98861347,-0.99999276,-0.1523621
1117,0.95233254,-0.5087064,-0.21134326
7058,-0.19689449,-0.9997312,0.73196111
2997,0.92894501,-0.90323223,-0.2165765
2653,0.95840626,-0.87135196,-0.23015135
